"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Benin","BEN","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700","2800","2860","2890","3070","2920","3270","3360","3500","3390","3680","3320","3630","3610","3640","4060","4020","4200","4200","4380","4520","4710","4840","5080","5090","5220","5380","5420","5530","","","",
"Burkina Faso","BFA","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7110","7330","7520","7670","7870","8110","8080","8330","8340","8440","8950","8680","9050","11110","11470","11820","11760","12050","12450","12890","13500","13750","13810","14200","14490","14690","15380","15590","15600","","","",
"Bangladesh","BGD","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64380","64460","65050","65130","65940","66670","66340","66920","66470","68350","68940","68930","70230","71050","70730","72360","73270","73940","76420","77310","78460","79160","79550","79980","80550","80900","80240","82590","83790","","","",
"Bulgaria","BGR","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16390","15360","14820","13520","11730","12020","12080","11540","11050","10650","10570","9960","9430","9830","9310","8880","8490","8570","8290","7940","7780","8040","7750","7490","7470","7380","7090","7030","6910","","","",
"Bahrein","BHR","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3170","3240","3310","3380","3500","4140","4790","5430","6080","6730","7380","7680","7990","8280","8580","8880","9430","9980","10520","11070","11620","12080","12540","13010","13470","13930","14240","14540","14850","","","",
"Bahamas","BHS","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","160","170","170","170","170","170","180","180","180","180","180","190","190","210","200","200","210","210","210","210","220","220","230","220","230","230","230","230","","","",
"Bosnia y Herzegovina","BIH","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5050","4950","3250","2450","2450","2230","2510","2960","3260","3420","3580","3580","2950","3180","3360","3460","3640","3810","3900","4000","3790","3860","3780","3780","3470","3480","3460","3420","3380","","","",
"Belarús","BLR","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20090","19660","17600","16740","15930","15120","14850","14630","14560","14400","13970","13730","13530","13620","14060","13790","14150","14560","15410","15480","15930","15610","15890","16590","16700","16980","16550","16720","16730","","","",
"Belice","BLZ","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6120","6240","6380","6480","6610","5520","4450","3400","2340","1280","210","240","260","290","280","300","350","400","450","490","540","550","520","540","490","480","500","520","530","","","",
"Bermudas","BMU","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12540","13110","13770","14410","15100","15260","15140","15370","15750","16260","16420","16450","17960","18160","19440","20390","20300","20520","20760","21240","23000","22710","23200","23660","23420","24160","24830","24870","25050","","","",
"Brasil","BRA","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285240","300170","304560","305470","311160","311550","304620","311060","318140","322940","325470","343440","361630","377700","395480","397320","392850","393310","391400","396980","413330","412830","414530","411880","416350","422280","424800","421660","416280","","","",
"Barbados","BRB","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2070","2110","2150","2190","2220","2230","2240","2250","2260","2270","2280","2280","2270","2270","2270","2270","2270","2270","2280","2290","2300","2300","2310","2310","2320","2330","2330","2340","2350","","","",
"Brunei Darussalam","BRN","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9870","10010","10150","10280","10420","10550","10870","11190","11500","11820","12130","12220","12300","12380","12470","12550","12060","11570","11070","10580","10090","9970","9850","9720","9600","9480","9260","9050","8830","","","",
"Bhután","BTN","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","830","840","810","810","810","860","850","850","850","880","860","820","820","830","840","910","900","920","850","900","900","900","900","910","880","870","870","870","860","","","",
"Botswana","BWA","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6050","5740","5560","5400","5680","6180","6850","6630","6240","6260","6150","7090","7080","3710","3970","4520","5510","4590","8780","4560","10020","12190","6320","5830","4430","4260","3870","5280","4560","","","",
"República Centroafricana","CAF","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15680","15970","16080","16190","16360","16520","17560","17710","18720","17670","19150","17230","16080","18450","17110","17540","18020","18640","19580","17820","19250","20570","19820","21050","21460","22240","23340","22810","23200","","","",
"Canadá","CAN","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86830","88220","92250","94870","97440","101280","105380","107150","109270","107960","106910","105320","103840","102210","103180","101520","101440","99520","96350","91740","90200","90120","92550","95000","97120","94850","90490","92380","93980","","","",
"Europa Central y del Báltico","CEB","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198960","184320","174780","164570","158090","154390","153470","150210","143590","139690","137800","140200","136160","136860","133980","133190","132070","129200","128280","124380","123840","120660","119110","117710","116340","116430","114510","114340","114080","","","",
"Suiza","CHE","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6450","6340","6250","6110","6060","6000","5960","5760","5680","5550","5480","5530","5480","5360","5290","5300","5300","5250","5290","5190","5180","5110","5060","5000","4960","4900","4860","4830","4790","","","",
"Islas del Canal","CHI","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12220","12330","12540","12840","13070","13350","13620","14020","14280","14370","14460","14260","14060","13920","13880","13760","13530","13360","13540","13700","13790","13870","14080","13050","13220","12850","13000","13110","13480","","","",
"China","CHN","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","730340","743070","751660","757560","773650","798450","823860","791730","813830","825690","829610","824170","819890","815910","829700","837670","883360","921560","973580","1018910","1063830","1106190","1151100","1178020","1206210","1237520","1242150","1239130","1238630","","","",
"Côte d'Ivoire","CIV","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3960","9150","14320","19350","24580","24320","23730","23450","23110","22750","22500","21380","20300","18860","16800","16200","14670","13310","11720","10240","8780","7540","6280","6560","6160","6280","6910","6540","6560","","","",
"Camerún","CMR","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9030","9040","9110","9160","9220","9460","9790","10240","11010","11480","12530","12170","12170","12960","12320","13190","12840","12940","12560","12490","12960","13080","13550","14040","14220","14620","14760","14800","14960","","","",
"Congo, República Democrática del","COD","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24920","25310","25900","26320","26780","26870","24340","24170","24560","23710","23820","24890","27580","29040","30150","30170","30920","29840","31100","31540","32550","32700","33700","35320","35980","37360","37790","38830","38620","","","",
"Congo, República del","COG","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1750","1730","1710","1690","1660","1690","1140","1200","1250","1290","1230","1330","1610","2060","2180","2440","2610","2620","2750","2800","3140","3220","3180","3300","3140","3360","3430","3450","3540","","","",
"Colombia","COL","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57300","57330","58360","59460","60590","61000","61960","61750","62500","61180","62020","63470","64160","65690","66890","67430","68160","70310","71450","72210","74190","71900","70020","70260","70510","71200","71920","74540","76700","","","",
"Comoras","COM","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170","170","170","180","180","180","180","190","190","190","170","190","190","190","190","190","210","190","210","220","230","240","250","260","260","270","280","270","270","","","",
"Cabo Verde","CPV","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","90","100","100","100","100","100","100","100","100","100","100","100","100","110","110","110","110","110","120","120","120","120","120","120","130","130","120","120","","","",
"Costa Rica","CRI","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4290","4320","4330","4390","4140","3850","3850","3900","4030","4020","4040","3980","3920","3870","3810","3940","3920","4130","4300","4370","4430","4550","4490","4570","4590","4640","4810","4870","4820","","","",
"Estados pequeos del Caribe","CSS","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14550","15070","15520","15750","15950","15040","13910","12790","11600","10630","9260","9430","9260","9630","9530","9420","9360","9490","9760","10050","10230","10390","10420","10640","10820","10910","10630","10830","10780","","","",
"Cuba","CUB","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12630","12270","12140","11170","11490","11800","12930","12890","12900","12570","12540","12410","12550","12770","12430","11900","12190","12280","12550","13180","13060","13360","13330","13350","13280","12780","12980","12600","12690","","","",
"Curacao","CUW","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Caimán","CYM","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chipre","CYP","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","530","540","550","560","580","590","600","610","620","620","640","660","680","670","670","670","670","670","680","680","690","690","690","690","700","700","720","730","740","","","",
"República Checa","CZE","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23900","22390","20880","19880","18680","18140","17960","17560","16810","15890","15020","14750","14190","14100","13680","14050","14280","13830","13920","13580","13780","13750","13590","12790","12720","12730","12440","12430","12430","","","",
"Alemania","DEU","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131610","127000","119240","118580","113710","111900","108860","105270","99140","98500","94110","89100","84880","80510","74530","70650","66720","64320","63510","60910","59920","58690","59220","58310","57160","56800","55520","54780","53370","","","",
"Djibouti","DJI","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460","470","470","480","500","540","560","580","590","620","630","640","640","640","650","660","650","660","660","660","660","670","670","670","680","680","680","680","690","","","",
"Dominica","DMA","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","90","80","70","60","50","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","50","50","","","",
"Dinamarca","DNK","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8860","8980","8970","9110","8960","9030","9070","8960","8950","8740","8650","8890","8640","8550","8320","8140","8020","8030","7800","7570","7780","7620","7470","7340","7210","7180","7170","7090","7140","","","",
"República Dominicana","DOM","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6110","6750","6890","7500","7820","7600","7510","7290","7090","6660","6500","6830","7030","6950","7450","7250","7350","8050","8250","8550","8700","8770","8780","8830","8880","8890","8980","9100","9200","","","",
"Argelia","DZA","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22070","22120","22540","22850","22900","25670","28450","31200","34180","37150","39920","41640","43160","45000","46890","48610","48510","48380","48070","48150","48210","48380","48690","48880","49230","49310","49400","49460","49550","","","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1305610","1326060","1348110","1362420","1387840","1425290","1457080","1427500","1447910","1476930","1486870","1477520","1470380","1467740","1484850","1494830","1545460","1590310","1643990","1695080","1740430","1779790","1825990","1860280","1898000","1935910","1946400","1960870","1961240","","","",
"inicial del dividendo demográfico","EAR","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1951300","1974210","2006320","2068820","2086790","2126760","2163410","2180320","2200990","2244620","2280940","2298290","2320380","2351800","2379120","2421380","2475220","2519110","2565380","2551510","2556090","2560490","2553910","2563480","2582040","2593400","2629630","2666810","2692600","","","",
"Asia oriental y el Pacífico","EAS","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1572630","1591400","1612020","1622020","1646960","1682480","1706370","1678910","1697840","1737920","1757500","1755960","1740540","1697690","1734890","1725570","1794880","1835370","1871250","1924910","1958060","2045470","2089850","2083910","2128930","2163350","2157920","2193250","2192480","","","",
"Europa y Asia central (excluido altos ingresos)","ECA","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1484250","1400330","1279130","1230320","1137730","1093330","1070090","1038520","1010530","1016080","1043260","1071460","1101130","1162640","1188350","1195790","1230560","1246470","1256700","1211950","1243750","1264040","1275980","1275480","1280640","1277440","1294680","1294300","1291550","","","",
"Europa y Asia central","ECS","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2176390","2081810","1947270","1888740","1778900","1730500","1701730","1661540","1618870","1613930","1630420","1647630","1664710","1713660","1722900","1717150","1740190","1747750","1748870","1693210","1717380","1726000","1733580","1722590","1719660","1715500","1728580","1725380","1718880","","","",
"Ecuador","ECU","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14580","14740","15790","16490","17090","17370","17790","18410","17660","18000","16820","17900","18590","18860","19750","19720","20120","20000","20180","21050","21350","21370","21530","21740","20840","20360","20510","20690","20350","","","",
"Egipto, República Árabe de","EGY","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24980","27650","30130","32350","34550","36650","38870","41530","42590","45980","48390","48260","49650","49970","50500","50700","52150","53700","54750","53600","53530","55070","56000","55670","55880","55570","56310","56050","56870","","","",
"Zona del Euro","EMU","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","425400","420030","411540","406720","399290","396170","392720","387290","379930","377490","373360","364240","356580","349180","338850","330280","322570","319460","316290","311720","308600","301630","300300","295800","291720","292360","289480","286920","283470","","","",
"Eritrea","ERI","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2460","2550","2670","2340","2470","2540","2840","3210","3370","3470","3520","3310","3260","3330","3350","3370","3260","3450","3460","3460","3360","3510","3550","3590","3610","3640","3690","3700","3730","","","",
"España","ESP","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34230","34340","34830","34430","34850","35280","36120","37830","38320","38980","39690","40430","40830","40980","40740","40540","40100","40870","39350","40930","39450","39220","38660","38080","37660","39210","39260","39600","39940","","","",
"Estonia","EST","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2270","2240","2280","2050","1750","1710","1640","1600","1540","1500","1440","1420","1420","1370","1380","1320","1300","1280","1260","1230","1240","1180","1180","1150","1130","1120","1070","1060","1050","","","",
"Etiopía","ETH","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40680","42230","44550","41950","43620","44990","47510","49780","54060","54660","53510","55770","61480","60530","61590","63910","67280","73250","76200","79110","82380","83090","87230","91110","95150","98520","100810","102660","103110","","","",
"Unión Europea","EUU","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","617530","597950","579840","567330","555700","549660","545480","536970","523220","517180","511490","505200","493020","486110","472740","463200","454390","448330","443820","435540","431930","421640","418960","412850","407550","408010","403160","400460","396790","","","",
"Frágiles y situaciones de conflicto afectados","FCS","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","570120","581700","597260","606320","623890","629840","635730","642300","657290","664480","670700","678080","703840","726600","744600","770280","788390","814030","835620","851650","872450","874580","889230","896390","900910","907520","926150","936190","949530","","","",
"Finlandia","FIN","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8340","8250","8180","8150","8050","7820","7700","7570","7300","7100","6760","6570","6290","6030","5780","5490","5540","5360","5230","5120","5150","4990","4940","4810","4670","4600","4470","4340","4240","","","",
"Fiji","FJI","Emisiones de metano (kt de equivalente de CO2)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","740","760","780","820","860","890","890","890","880","860","870","880","850","850","860","860","850","850","840","830","820","870","920","970","1020","620","630","660","670","","","",
