"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bélgica","BEL","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8160","8120","7770","8000","8530","8900","9410","9100","9190","9120","7760","7500","8010","7240","7330","7090","6090","5490","5540","5630","6130","4880","4930","4770","4740","4790","4490","4440","4460","","","",
"Benin","BEN","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1680","1740","1770","1800","1910","1850","2130","2230","2320","2280","2440","2010","2320","2090","2000","2400","2190","2290","2100","2220","2280","2340","2400","2510","2510","2470","2670","2570","2930","","","",
"Burkina Faso","BFA","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4800","5020","5110","5200","5460","5580","5530","5770","5830","5980","6450","5920","6290","7610","7810","8110","7920","8070","8230","8420","8790","8790","8850","9140","9220","9310","9830","9860","9850","","","",
"Bangladesh","BGD","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16420","17210","17510","17890","18540","19810","20360","19880","19930","21190","21360","21820","22400","21930","22060","22830","23860","23950","26030","25530","26060","27070","26470","26650","27550","28210","27270","28400","29240","","","",
"Bulgaria","BGR","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8390","7140","5300","4570","4620","4380","4480","4190","3600","3360","3760","3960","4380","4480","4370","3990","3260","3620","3800","3790","3710","4360","3430","3760","3830","4000","4010","4050","4050","","","",
"Bahrein","BHR","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","40","30","30","40","40","40","40","40","40","50","60","70","70","70","60","70","70","80","90","90","90","90","80","70","70","90","","","",
"Bahamas","BHS","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","40","40","50","50","50","60","50","50","50","50","50","70","60","60","60","70","60","50","70","70","80","70","80","80","80","80","","","",
"Bosnia y Herzegovina","BIH","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1120","1200","840","740","650","550","500","610","780","840","850","840","820","770","960","900","890","880","810","1130","1100","1220","1300","1210","1310","1350","1210","1210","1090","","","",
"Belarús","BLR","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17520","16500","13070","12680","12030","11870","11900","11930","11850","11790","11640","12260","11190","11430","11650","12000","12460","12320","12820","12990","12880","13380","13240","13040","12640","12530","11750","12160","12010","","","",
"Belice","BLZ","Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110","110","120","110","110","100","100","100","110","110","110","110","180","240","120","140","130","140","130","160","140","170","160","230","230","240","240","230","210","","","",
