"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Benin","BEN","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","380","330","360","420","400","460","1050","1240","1300","1420","1530","1840","2120","2380","2530","2780","3830","4390","4350","4700","5080","4980","4740","5020","5510","5990","7230","7360","7910","","","",
"Burkina Faso","BFA","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590","600","610","620","620","640","720","820","880","930","1050","1020","1020","1100","1130","1150","1400","1680","1910","1930","2090","2200","2710","2970","3020","3400","3500","4070","4270","","","",
"Bangladesh","BGD","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11520","10830","11820","12570","13540","16550","16820","18970","19250","20110","21650","25780","27430","28630","30530","32710","35900","37990","41580","44750","50580","54420","57990","60580","63800","71690","73740","78710","82760","","","",
"Bulgaria","BGR","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73560","58610","55130","55670","53520","54690","55060","53370","50590","44300","43330","46180","43630","47890","47180","47880","48970","52620","50030","42970","44850","49670","45120","39820","42230","44690","41740","44040","41130","","","",
"Bahrein","BHR","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10740","10350","12270","13070","13370","13540","14170","14420","15510","15450","15880","16390","17220","17960","17930","20700","22500","23010","24770","24730","25980","26030","26570","28760","30220","30600","30200","30380","30750","","","",
"Bahamas","BHS","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1780","1880","2530","2100","2040","2080","1970","1770","2270","2230","2140","2130","2280","2250","2160","2020","2020","2070","2110","6020","2080","2420","3640","3110","2620","2370","2190","2150","2260","","","",
"Bosnia y Herzegovina","BIH","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23970","21440","15970","13400","3160","3370","4190","8490","10760","10520","13950","13760","14560","14860","15570","16230","17910","18890","20760","20590","20840","23740","21960","21850","19490","19610","22340","22650","22540","","","",
"Belarús","BLR","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99850","96240","87780","76240","64670","57530","58480","59050","57230","54980","52990","51740","51770","52550","55770","56480","58810","57350","60270","57200","61470","58350","59790","59930","59470","54890","55210","56240","59310","","","",
"Belice","BLZ","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330","430","500","460","450","460","360","460","450","410","450","530","520","510","440","470","510","530","500","1460","560","640","690","500","490","660","650","650","680","","","",
"Bermudas","BMU","Emisiones de CO2 (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
